Wall time,Step,Value
1565022641.880436,19000,-0.08254948258399963
1565022710.305221,25000,-0.09238607436418533
1565022894.2875054,41000,-0.09094833582639694
1565022916.8030214,43000,-0.08962932229042053
1565022951.6870785,46000,-0.08725723624229431
1565023085.7969196,57000,-0.7614705562591553
1565023257.9890134,72000,-0.7666016817092896
1565023293.732577,75000,-0.7567981481552124
1565023529.629867,95000,-0.782406747341156
1565023677.83106,107000,-0.9508631825447083
1565023903.730006,127000,-1.5822367668151855
1565024235.543883,156000,-1.6131761074066162
1565024278.220696,159000,-1.89023756980896
1565024379.5807338,168000,-1.9009723663330078
1565024560.7756248,184000,-1.8627846240997314
1565024583.4425383,186000,-1.8591705560684204
1565025099.117562,230000,-2.1091995239257812
1565025155.8236206,235000,-2.137805223464966
1565025329.0928748,250000,-2.1188900470733643
1565025396.353471,256000,-2.104576587677002
1565025461.7695374,261000,-2.3608100414276123
1565025540.3723238,268000,-2.3545706272125244
1565025608.7213395,274000,-2.316261053085327
1565026012.6737702,309000,-2.517068862915039
1565026035.3100922,311000,-2.5588929653167725
1565026125.5762804,319000,-2.5718929767608643
1565026369.011754,340000,-2.5235912799835205
1565026459.9225032,348000,-2.5563857555389404
1565026696.5691895,368000,-2.7627274990081787
1565027317.1047401,422000,-2.7483325004577637
1565027328.6382673,423000,-2.789774179458618
1565027523.1771035,440000,-2.866009473800659
1565027557.9963553,443000,-2.8048834800720215
1565027593.2812107,446000,-2.803603410720825
1565027775.1267402,461000,-2.6693367958068848
1565027810.6612816,464000,-2.6809961795806885
1565027821.7263756,465000,-2.724513292312622
1565027934.1971345,475000,-2.694730043411255
1565028157.8730085,494000,-2.564805507659912
1565028397.1082423,515000,-2.5075201988220215
1565028587.875294,532000,-2.5210068225860596
1565028644.9597948,537000,-2.5710344314575195
1565028960.6347954,564000,-2.3508753776550293
1565029072.1621437,574000,-2.2566909790039062
1565029139.5729961,580000,-2.3423593044281006
1565029227.517136,587000,-2.1788759231567383
1565029238.5476947,588000,-2.282468795776367
1565029610.2701387,621000,-2.124574899673462
1565029632.4101317,623000,-2.2291362285614014
1565029774.0415666,635000,-1.9968364238739014
1565029853.3206754,642000,-1.9562546014785767
1565029864.3231826,643000,-1.9760392904281616
1565029886.4497554,645000,-1.9196445941925049
1565029920.9892004,648000,-2.0140416622161865
1565029943.5529351,650000,-1.9438530206680298
1565030079.6748235,662000,-1.994080901145935
1565030192.601286,672000,-1.8924921751022339
1565030695.9611804,715000,-1.6667314767837524
1565030793.8126066,723000,-1.5868241786956787
1565030882.5403702,731000,-1.4982147216796875
1565030986.7784874,740000,-1.6496258974075317
1565031137.3139083,753000,-1.5753027200698853
1565031182.333234,757000,-1.4653866291046143
1565031292.6689928,766000,-1.2158160209655762
1565031338.5161414,770000,-1.2031750679016113
1565031360.6089358,772000,-1.2517403364181519
1565031382.6690588,774000,-1.2681692838668823
1565031460.1926231,781000,-1.3470793962478638
1565031515.749553,786000,-1.3360087871551514
1565031537.8590696,788000,-1.2421177625656128
1565031593.6609228,793000,-1.296190619468689
1565031615.8254778,795000,-1.249992847442627
1565031660.3016315,799000,-1.318957805633545
1565031705.2521296,803000,-1.268068552017212
1565031780.340214,809000,-0.9993042945861816
1565031791.7175772,810000,-1.0895671844482422
1565032051.9527657,833000,-1.0100359916687012
1565032096.4627872,837000,-0.862199068069458
1565032477.6373048,870000,-0.8931395411491394
1565032560.2847638,877000,-0.749617338180542
1565032627.4160748,883000,-0.9324027299880981
1565032794.6843445,897000,-0.4890909492969513
1565032838.916523,901000,-0.4404461681842804
1565032918.806698,908000,-0.4620114862918854
1565032940.7339742,910000,-0.4763699769973755
1565033029.6415532,918000,-0.5064788460731506
1565033187.1111834,932000,-0.4825378656387329
1565033198.5396726,933000,-0.6541799902915955
1565033317.5290496,943000,-0.15466810762882233
1565033350.529402,946000,-0.2585596442222595
1565033451.8549304,955000,-0.39819782972335815
1565033539.8799715,963000,-0.07522136718034744
1565033638.452791,972000,-0.4103650450706482
1565033649.765846,973000,-0.13982167840003967
1565033716.7476108,979000,-0.2725224494934082
1565033727.8138428,980000,-0.27020683884620667
1565033790.9686866,985000,0.054562196135520935
1565033988.1074035,1003000,0.02713880129158497
1565034021.1403947,1006000,0.02504509501159191
1565034119.4969716,1015000,0.10822972655296326
1565034456.2696562,1045000,0.18848690390586853
1565034599.5166874,1058000,0.42084187269210815
1565034664.8125749,1064000,0.17394252121448517
1565034697.3975854,1067000,0.23624025285243988
1565034727.8435016,1069000,0.6297435164451599
1565034771.3679228,1073000,0.4948361814022064
1565034838.1477208,1079000,0.5433027148246765
1565034893.5239134,1084000,0.5089995861053467
1565035003.7909288,1094000,0.6205297112464905
1565035069.673914,1100000,0.6480476260185242
1565035125.334744,1105000,0.5323668718338013
1565035243.599727,1115000,0.8953095078468323
1565035712.9423306,1157000,1.2361620664596558
1565035756.3722317,1161000,1.0949294567108154
1565035767.3135967,1162000,1.2429614067077637
1565035778.152972,1163000,1.1168029308319092
1565035974.6482737,1181000,1.1825395822525024
1565036118.2727094,1194000,1.1121633052825928
1565036270.3883579,1207000,1.4993687868118286
1565036554.2980547,1233000,1.331421136856079
1565036694.6580095,1245000,1.6780935525894165
1565036814.3880224,1256000,1.7152504920959473
1565036846.8484123,1259000,1.7459019422531128
1565036879.4525077,1262000,1.732497215270996
1565037115.4555385,1282000,1.9232640266418457
1565037181.2937846,1288000,2.0108718872070312
1565037258.314894,1295000,1.8947746753692627
1565037325.7619889,1301000,1.9780528545379639
1565037501.2460833,1317000,1.864666223526001
1565037533.6345131,1320000,1.9781997203826904
1565037661.942894,1331000,2.2922205924987793
1565037694.4498746,1334000,2.302736759185791
1565037727.3553314,1337000,2.2173428535461426
1565037738.1811547,1338000,2.1589601039886475
1565038271.8022685,1386000,2.639744520187378
1565038304.1009989,1389000,2.643733024597168
1565038336.5679176,1392000,2.4266183376312256
1565038347.3984437,1393000,2.488307237625122
1565038597.0848112,1415000,2.8423237800598145
1565038729.7056098,1427000,2.7489535808563232
1565038838.291618,1437000,2.807844638824463
1565038882.047682,1441000,2.7386133670806885
1565039162.281084,1466000,3.1035454273223877
1565039173.6568968,1467000,3.010363817214966
1565039293.1331508,1478000,3.0348384380340576
1565039380.031596,1486000,3.0147294998168945
1565039423.512798,1490000,3.148148775100708
1565039453.8713326,1492000,3.419628143310547
1565039803.4270277,1524000,3.4356300830841064
1565039847.0794563,1528000,3.3725132942199707
1565040130.3851295,1553000,3.665482997894287
1565040308.0906289,1569000,3.751783609390259
1565040318.8814225,1570000,3.7169854640960693
1565040491.0887332,1585000,3.9909982681274414
1565040534.0529618,1589000,4.002198696136475
